Entity Name,Region
Adelanto,Southern California
Agoura Hills,Southern California
Alameda,Northern California
Albany,Northern California
Alhambra,Southern California
Aliso Viejo,Southern California
Alturas,Northern California
Amador,Sierra Nevada
American Canyon,Northern California
Anaheim,Southern California
Anderson,Northern California
Angels,Sierra Nevada
Antioch,Northern California
Apple Valley,Southern California
Arcadia,Southern California
Arcata,Northern California
Arroyo Grande,Central California
Artesia,Southern California
Arvin,Central California
Atascadero,Central California
Atherton,Northern California
Atwater,Central California
Auburn,Sierra Nevada
Avalon,Southern California
Avenal,Central California
Azusa,Southern California
Bakersfield,Central California
Baldwin Park,Southern California
Banning,Southern California
Barstow,Southern California
Beaumont,Southern California
Bell,Southern California
Bell Gardens,Southern California
Bellflower,Southern California
Belmont,Northern California
Belvedere,Northern California
Benicia,Northern California
Berkeley,Northern California
Beverly Hills,Southern California
Big Bear Lake,Southern California
Biggs,Northern California
Bishop,Sierra Nevada
Blue Lake,Northern California
Blythe,Southern California
Bradbury,Southern California
Brawley,Southern California
Brentwood,Northern California
Brisbane,Northern California
Buellton,Central California
Buena Park,Southern California
Burbank,Southern California
Burlingame,Northern California
Calabasas,Southern California
Calexico,Southern California
California City,Southern California
Calimesa,Southern California
Calipatria,Southern California
Calistoga,Northern California
Camarillo,Southern California
Campbell,Northern California
Canyon Lake,Southern California
Capitola,Northern California
Carlsbad,Southern California
Carmel-By-The-Sea,Central California
Carpinteria,Central California
Carson,Southern California
Cathedral City,Southern California
Ceres,Central California
Cerritos,Southern California
Chico,Northern California
Chino,Southern California
Chino Hills,Southern California
Chowchilla,Central California
Chula Vista,Southern California
Citrus Heights,Northern California
Claremont,Southern California
Clayton,Northern California
Clearlake,Northern California
Cloverdale,Northern California
Clovis,Central California
Coachella,Southern California
Coalinga,Central California
Colfax,Sierra Nevada
Colma,Northern California
Colton,Southern California
Colusa,Northern California
Commerce,Southern California
Compton,Southern California
Concord,Northern California
Corcoran,Central California
Corning,Northern California
Corona,Southern California
Coronado,Southern California
Corte Madera,Northern California
Costa Mesa,Southern California
Cotati,Northern California
Covina,Southern California
Crescent City,Northern California
Cudahy,Southern California
Culver City,Southern California
Cupertino,Northern California
Cypress,Southern California
Daly City,Northern California
Dana Point,Southern California
Danville,Northern California
Del Mar,Southern California
Del Rey Oaks,Central California
Delano,Central California
Desert Hot Springs,Southern California
Diamond Bar,Southern California
Dinuba,Central California
Dixon,Northern California
Dorris,Northern California
Dos Palos,Central California
Downey,Southern California
Duarte,Southern California
Dublin,Northern California
Dunsmuir,Northern California
East Palo Alto,Northern California
Eastvale,Southern California
El Cajon,Southern California
El Centro,Southern California
El Cerrito,Northern California
El Monte,Southern California
El Paso De Robles,Central California
El Segundo,Southern California
Elk Grove,Northern California
Emeryville,Northern California
Encinitas,Southern California
Escalon,Central California
Escondido,Southern California
Etna,Northern California
Eureka,Northern California
Exeter,Central California
Fairfax,Northern California
Fairfield,Northern California
Farmersville,Central California
Fillmore,Southern California
Firebaugh,Central California
Folsom,Northern California
Fontana,Southern California
Fort Bragg,Northern California
Fort Jones,Northern California
Fortuna,Northern California
Foster City,Northern California
Fountain Valley,Southern California
Fowler,Central California
Fremont,Northern California
Fresno,Central California
Fullerton,Southern California
Galt,Northern California
Garden Grove,Southern California
Gardena,Southern California
Gilroy,Northern California
Glendale,Southern California
Glendora,Southern California
Goleta,Central California
Gonzales,Central California
Grand Terrace,Southern California
Grass Valley,Sierra Nevada
Greenfield,Central California
Gridley,Northern California
Grover Beach,Central California
Guadalupe,Central California
Gustine,Central California
Half Moon Bay,Northern California
Hanford,Central California
Hawaiian Gardens,Southern California
Hawthorne,Southern California
Hayward,Northern California
Healdsburg,Northern California
Hemet,Southern California
Hercules,Northern California
Hermosa Beach,Southern California
Hesperia,Southern California
Hidden Hills,Southern California
Highland,Southern California
Hollister,Central California
Holtville,Southern California
Hughson,Central California
Huntington Beach,Southern California
Huntington Park,Southern California
Huron,Central California
Imperial,Southern California
Indian Wells,Southern California
Indio,Southern California
Industry,Southern California
Inglewood,Southern California
Ione,Northern California
Irvine,Southern California
Irwindale,Southern California
Isleton,Northern California
Jackson,Sierra Nevada
Kerman,Central California
King City,Central California
Kingsburg,Central California
La Cañada Flintridge,Southern California
La Habra,Southern California
La Habra Heights,Southern California
La Mesa,Southern California
La Mirada,Southern California
La Palma,Southern California
La Puente,Southern California
La Quinta,Southern California
La Verne,Southern California
Lafayette,Northern California
Laguna Beach,Southern California
Laguna Hills,Southern California
Laguna Niguel,Southern California
Laguna Woods,Southern California
Lake Elsinore,Southern California
Lake Forest,Southern California
Lakeport,Northern California
Lakewood,Southern California
Lancaster,Southern California
Larkspur,Northern California
Lathrop,Northern California
Lawndale,Southern California
Lemon Grove,Southern California
Lemoore,Central California
Lincoln,Northern California
Lindsay,Central California
Live Oak,Northern California
Livermore,Northern California
Livingston,Central California
Lodi,Northern California
Loma Linda,Southern California
Lomita,Southern California
Lompoc,Central California
Long Beach,Southern California
Loomis,Northern California
Los Alamitos,Southern California
Los Altos,Northern California
Los Altos Hills,Northern California
Los Angeles,Southern California
Los Banos,Central California
Los Gatos,Northern California
Loyalton,Sierra Nevada
Lynwood,Southern California
Madera,Central California
Malibu,Southern California
Mammoth Lakes,Sierra Nevada
Manhattan Beach,Southern California
Manteca,Northern California
Maricopa,Central California
Marina,Central California
Martinez,Northern California
Marysville,Northern California
Maywood,Southern California
McFarland,Central California
Mendota,Central California
Menlo Park,Northern California
Merced,Central California
Mill Valley,Northern California
Millbrae,Northern California
Milpitas,Northern California
Mission Viejo,Southern California
Modesto,Central California
Monrovia,Southern California
Montague,Northern California
Montclair,Southern California
Monte Sereno,Northern California
Montebello,Southern California
Monterey,Central California
Monterey Park,Southern California
Moorpark,Southern California
Moraga,Northern California
Moreno Valley,Southern California
Morgan Hill,Northern California
Morro Bay,Central California
Mount Shasta,Sierra Nevada
Mountain View,Northern California
Murrieta,Southern California
Napa,Northern California
